회사명,구분,직원수,임대료,인건비,기타,총지출액
다해공연,공연,42,5000000,92400000,21000000,118400000
떠나관광,여행,25,2500000,55000000,12500000,70000000
미니전자,전자제품,51,7000000,112200000,25500000,144700000
보다책,도서,34,3000000,74800000,17000000,94800000
북마켓,도서,34,3500000,74800000,17000000,95300000
북천지,도서,40,4000000,88000000,20000000,112000000
스위트여행,여행,37,2500000,81400000,18500000,102400000
에스티,전자제품,42,6000000,92400000,21000000,119400000
여행나라,여행,30,2400000,66000000,15000000,83400000
연극나라,공연,33,3000000,72600000,16500000,92100000
예스티켓,공연,27,2800000,59400000,13500000,75700000
이알전자,전자제품,29,3500000,63800000,14500000,81800000
